name,level,value,computedValue,fallback,feedbackValue,deprecatedComment,value.font-family,value.font-weight,value.line-height,value.font-size,value.letter-spacing,computedValue.font-family,computedValue.font-weight,computedValue.line-height,computedValue.font-size,computedValue.letter-spacing
sys.color.bg.muted.softer,sys,{base.palette.slate.400},oklch(0.754 0.0181 256.33 / 1),,,Use sys.color.accent.muted.soft token instead,,,,,,,,,,
sys.color.bg.muted.soft,sys,{base.palette.slate.500},oklch(0.629 0.0281 255.62 / 1),,,Use sys.color.accent.muted.soft token instead,,,,,,,,,,
sys.color.bg.muted.default,sys,{base.palette.slate.600},oklch(0.5103 0.0255 256.8 / 1),,,Use sys.color.accent.muted.default instead,,,,,,,,,,
sys.color.bg.muted.strong,sys,{base.palette.slate.700},oklch(0.45 0.022 255.52 / 1),,,Use sys.color.accent.muted.default token instead with sys.color.accent.overlay.hover,,,,,,,,,,
sys.color.bg.contrast.default,sys,{base.palette.neutral.900},oklch(0.2891 0 0 / 1),,,Use sys.color.surface.contrast.default instead,,,,,,,,,,
sys.color.bg.contrast.strong,sys,{base.palette.neutral.950},oklch(0.2308 0 0 / 1),,,Use sys.color.surface.contrast.strong with sys.color.accent.overlay.hover,,,,,,,,,,
sys.color.bg.positive.softest,sys,{base.palette.green.25},oklch(0.9824 0.0282 148.77 / 1),,,Use sys.color.surface.success tokens instead,,,,,,,,,,
sys.color.bg.positive.softer,sys,{base.palette.green.50},oklch(0.9655 0.0561 149.93 / 1),,,Use sys.color.brand.surface.positive.strong tokens instead,,,,,,,,,,
sys.color.bg.positive.soft,sys,{base.palette.green.100},oklch(0.9278 0.1024 149.88 / 1),,,Use sys.color.brand.surface.positive.default tokens instead,,,,,,,,,,
sys.color.bg.positive.default,sys,{base.palette.green.600},oklch(0.5069 0.1569 145.56 / 1),,,Use sys.color.accent.success instead,,,,,,,,,,
sys.color.bg.positive.strong,sys,{base.palette.green.700},oklch(0.4463 0.1422 144.58 / 1),,,Use sys.color.brand.accent.positive instead with sys.color.accent.overlay.hover,,,,,,,,,,
